name,character,type,desc,up_desc,effects,effects_up
Strike,Neutral,Attack,Deal 12 damage.,Deal 18 damage.,damage=12,damage=18
Defend,Neutral,Skill,Gain 10 Block.,Gain 15 Block.,block=10,block=15
Bash,Ironclad,Attack,Deal 16 damage. Apply 2 Vulnerable.,Deal 24 damage. Apply 3 Vulnerable.,damage=16;vulnerable=2,damage=24;vulnerable=3
Iron Wave,Ironclad,Attack,Gain 10 Block. Deal 10 damage.,Gain 15 Block. Deal 15 damage.,block=10;damage=10,block=15;damage=15
Perfected Strike,Ironclad,Attack,Deal 12 damage + 4 for ALL 'Strike' cards.,Deal 18 damage + 6 for ALL 'Strike' cards.,perfected=12:4,perfected=18:6
Pommel Strike,Ironclad,Attack,Deal 20 damage.,Deal 30 damage.,damage=20,damage=30
Shrug It Off,Ironclad,Skill,Gain 16 Block. Heal 2 HP.,Gain 24 Block. Heal 3 HP.,block=16;heal=2,block=24;heal=3
Cleave,Ironclad,Attack,Deal 16 damage to ALL enemies.,Deal 24 damage to ALL enemies.,damage=16;aoe=1,damage=24;aoe=1
Inflame,Ironclad,Power,Gain 3 Strength.,Gain 4 Strength.,power=strength:3,power=strength:4
Shockwave,Ironclad,Skill,Apply 3 Weak and Vulnerable.,Apply 4 Weak and Vulnerable.,weak=3;vulnerable=3,weak=4;vulnerable=4
Bludgeon,Ironclad,Attack,Deal 45 damage.,Deal 67 damage.,damage=45,damage=67
Demon Form,Ironclad,Power,At the start of each turn, gain 5 Strength.,At the start of each turn, gain 7 Strength.,power=demon_form:5,power=demon_form:7
Limit Break,Ironclad,Skill,Double your Strength.,Double your Strength.,double_strength=1,double_strength=1
Carnage,Ironclad,Attack,Deal 35 damage.,Deal 52 damage.,damage=35,damage=52
Survivor,Silent,Skill,Gain 15 Block.,Gain 22 Block.,block=15,block=22
Neutralize,Silent,Attack,Deal 8 damage. Apply 2 Weak.,Deal 12 damage. Apply 3 Weak.,damage=8;weak=2,damage=12;weak=3
Zap,Defect,Attack,Deal 12 damage.,Deal 18 damage.,damage=12,damage=18
Dualcast,Defect,Attack,Deal 24 damage.,Deal 36 damage.,damage=24,damage=36
Eruption,Watcher,Attack,Deal 18 damage. Apply 2 Vulnerable.,Deal 27 damage. Apply 3 Vulnerable.,damage=18;vulnerable=2,damage=27;vulnerable=3
Vigilance,Watcher,Skill,Gain 16 Block.,Gain 24 Block.,block=16,block=24
Reap,Necrobinder,Attack,Deal 12 damage. Heal 4 HP.,Deal 18 damage. Heal 6 HP.,damage=12;heal=4,damage=18;heal=6
Animate,Necrobinder,Attack,Deal 10 damage. Gain 10 Block.,Deal 15 damage. Gain 15 Block.,damage=10;block=10,damage=15;block=15
Dagger Spray,Silent,Attack,Deal 4 damage to ALL enemies 2 times.,Deal 6 damage to ALL enemies 2 times.,damage=4;hits=2;aoe=1,damage=6;hits=2;aoe=1
Backflip,Silent,Skill,Gain 10 Block. Draw 2 cards.,Gain 15 Block. Draw 3 cards.,block=10;draw=2,block=15;draw=3
Deadly Poison,Silent,Skill,Deal 10 damage. Apply 2 Weak.,Deal 15 damage. Apply 3 Weak.,damage=10;weak=2,damage=15;weak=3
Acrobatics,Silent,Skill,Draw 3 cards.,Draw 4 cards.,draw=3,draw=4
Bouncing Flask,Silent,Attack,Deal 15 damage randomly.,Deal 22 damage randomly.,damage=15,damage=22
Adrenaline,Silent,Skill,Gain 1 Strength. Draw 2 cards.,Gain 1 Strength. Draw 3 cards.,strength=1;draw=2,strength=1;draw=3
Catalyst,Silent,Skill,Apply 5 Vulnerable.,Apply 7 Vulnerable.,vulnerable=5,vulnerable=7
Noxious Fumes,Silent,Power,Deal 5 damage to ALL enemies each turn.,Deal 7 damage to ALL enemies each turn.,power=noxious_fumes:5,power=noxious_fumes:7
Dash,Silent,Attack,Gain 10 Block. Deal 10 damage.,Gain 15 Block. Deal 15 damage.,block=10;damage=10,block=15;damage=15
Cloak And Dagger,Silent,Skill,Gain 6 Block. Deal 6 damage.,Gain 9 Block. Deal 9 damage.,block=6;damage=6,block=9;damage=9
Cold Snap,Defect,Attack,Deal 12 damage. Gain 5 Block.,Deal 18 damage. Gain 7 Block.,damage=12;block=5,damage=18;block=7
Ball Lightning,Defect,Attack,Deal 14 damage.,Deal 21 damage.,damage=14,damage=21
Glacier,Defect,Skill,Gain 15 Block.,Gain 22 Block.,block=15,block=22
Hologram,Defect,Skill,Gain 10 Block. Draw 1 card.,Gain 15 Block. Draw 1 card.,block=10;draw=1,block=15;draw=1
Defragment,Defect,Power,Gain 2 Strength.,Gain 3 Strength.,power=strength:2,power=strength:3
Echo Form,Defect,Power,The first card you play each turn is played twice.,The first card you play each turn is played twice.,power=echo_form:1,power=echo_form:1
Leap,Defect,Skill,Gain 18 Block.,Gain 27 Block.,block=18,block=27
Sweeping Beam,Defect,Attack,Deal 12 damage to ALL enemies.,Deal 18 damage to ALL enemies.,damage=12;aoe=1,damage=18;aoe=1
Claw,Defect,Attack,Deal 6 damage. +4 damage next time.,Deal 9 damage. +6 damage next time.,claw=6:4,claw=9:6
Core Surge,Defect,Attack,Deal 22 damage.,Deal 33 damage.,damage=22,damage=33
Flurry of Blows,Watcher,Attack,Deal 8 damage.,Deal 12 damage.,damage=8,damage=12
Empty Fist,Watcher,Attack,Deal 18 damage.,Deal 27 damage.,damage=18,damage=27
Halt,Watcher,Skill,Gain 14 Block.,Gain 21 Block.,block=14,block=21
Bowling Bash,Watcher,Attack,Deal 15 damage.,Deal 22 damage.,damage=15,damage=22
Tantrum,Watcher,Attack,Deal 7 damage 3 times. Apply 2 Vulnerable.,Deal 10 damage 3 times. Apply 3 Vulnerable.,damage=7;hits=3;vulnerable=2,damage=10;hits=3;vulnerable=3
Wallop,Watcher,Attack,Deal 18 damage. Gain 18 Block.,Deal 27 damage. Gain 27 Block.,damage=18;block=18,damage=27;block=27
Vault,Watcher,Skill,Draw 3 cards.,Draw 4 cards.,draw=3,draw=4
Blasphemy,Watcher,Skill,Double your Strength.,Double your Strength.,double_strength=1,double_strength=1
Sash Whip,Watcher,Attack,Deal 8 damage 2 times. Apply 2 Weak.,Deal 10 damage 2 times. Apply 3 Weak.,damage=8;hits=2;weak=2,damage=10;hits=2;weak=3
Cut Through Fate,Watcher,Attack,Deal 14 damage. Draw 1 card.,Deal 21 damage. Draw 1 card.,damage=14;draw=1,damage=21;draw=1
Like Water,Watcher,Power,"At the start of each turn, gain 7 Block.","At the start of each turn, gain 10 Block.",power=block_each_turn:7,power=block_each_turn:10
Foresight,Watcher,Power,Draw 1 additional card each turn.,Draw 2 additional cards each turn.,power=draw_each_turn:1,power=draw_each_turn:2
